"","row","column","ID","event","event_short","block","H497","method"
"1",13,7,"LCOR-296","LC-102 13-15E","13-15E","large",3931.92,"Li600"
"2",13,27,"LCOR-295","LC-102 13-15E","13-15E","large",3230.88,"Li600"
"3",15,16,"LCOR-614","LC-102 13-15E","13-15E","large",2712.72,"Li600"
"4",3,7,"LCOR-073","LC-102 13-15E","13-15E","large",3749.04,"Li600"
"5",3,4,"LCOR-308","LC-102 13-15E","13-15E","large",3566.16,"Li600"
"6",14,19,"LCOR-080","LC-102 13-15E","13-15E","large",2697.48,"Li600"
"7",3,14,"LCOR-604","LC-102 13-15E","13-15E","large",4480.56,"Li600"
"8",10,18,"LCOR-306","LC-102 13-15E","13-15E","large",3596.64,"Li600"
"9",8,20,"LCOR-101","LC-102 16-20","16-20","large",3962.4,"Li600"
"10",9,13,"LCOR-320","LC-102 16-20","16-20","large",3596.64,"Li600"
"11",6,23,"LCOR-106","LC-102 16-20","16-20","large",2987.04,"Li600"
"12",9,6,"LCOR-310","LC-102 16-20","16-20","large",2895.6,"Li600"
"13",4,7,"LCOR-510","LC-102 16-20","16-20","large",3169.92,"Li600"
"14",13,4,"LCOR-107","LC-102 16-20","16-20","large",3230.88,"Li600"
"15",14,5,"LCOR-314","LC-102 16-20","16-20","large",3749.04,"Li600"
"16",10,21,"LCOR-518","LC-102 16-20","16-20","large",3596.64,"Li600"
"17",6,50,"LCOR-457","LC-102 2H","2H","small",2560.32,"Li600"
"18",6,17,"LCOR-458","LC-102 2H","2H","large",3505.2,"Li600"
"19",10,47,"LCOR-453","LC-102 2H","2H","small",2225.04,"Li600"
"20",7,5,"LCOR-068","LC-102 2H","2H","large",3688.08,"Li600"
"21",3,5,"LCOR-070","LC-102 2H","2H","large",3291.84,"Li600"
"22",10,15,"LCOR-449","LC-102 2H","2H","large",3992.88,"Li600"
"23",7,20,"LCOR-059","LC-102 2H","2H","large",3870.96,"Li600"
"24",9,20,"LCOR-067","LC-102 2H","2H","large",3505.2,"Li600"
"25",4,47,"LCOR-232","LC-102 4A","4A","small",3048,"Li600"
"26",11,8,"LCOR-238","LC-102 4A","4A","large",3596.64,"Li600"
"27",9,11,"LCOR-233","LC-102 4A","4A","large",3596.64,"Li600"
"28",11,51,"LCOR-225","LC-102 4A","4A","small",2346.96,"Li600"
"29",8,13,"LCOR-544","LC-102 4A","4A","large",2987.04,"Li600"
"30",12,45,"LCOR-234","LC-102 4A","4A","small",3276.6,"Li600"
"31",5,10,"LCOR-010","LC-102 4A","4A","large",3566.16,"Li600"
"32",6,21,"LCOR-012","LC-102 4A","4A","large",3901.44,"Li600"
"33",9,12,"LCOR-588","LC-102 5A","5A","large",3413.76,"Li600"
"34",2,6,"LCOR-577","LC-102 5A","5A","large",3078.48,"Li600"
"35",8,9,"LCOR-163","LC-102 5A","5A","large",4754.88,"Li600"
"36",7,21,"LCOR-248","LC-102 5A","5A","large",3810,"Li600"
"37",14,46,"LCOR-155","LC-102 5A","5A","small",3261.36,"Li600"
"38",5,20,"LCOR-166","LC-102 5A","5A","large",3322.32,"Li600"
"39",8,5,"LCOR-575","LC-102 5A","5A","large",5273.04,"Li600"
"40",2,11,"LCOR-164","LC-102 5A","5A","large",3688.08,"Li600"
"41",9,16,"LCOR-280","LC-102 5C","5C","large",3261.36,"Li600"
"42",15,9,"LCOR-041","LC-102 5C","5C","large",3733.8,"Li600"
"43",14,11,"LCOR-040","LC-102 5C","5C","large",2895.6,"Li600"
"44",3,49,"LCOR-270","LC-102 5C","5C","small",2377.44,"Li600"
"45",6,14,"LCOR-031","LC-102 5C","5C","large",3596.64,"Li600"
"46",14,10,"LCOR-039","LC-102 5C","5C","large",3474.72,"Li600"
"47",6,46,"LCOR-032","LC-102 5C","5C","small",3703.32,"Li600"
"48",13,19,"LCOR-568","LC-102 5C","5C","large",2819.4,"Li600"
"49",4,5,"LCOR-282","LC-102 8-9D","8-9D","large",3596.64,"Li600"
"50",10,5,"LCOR-092","LC-102 8-9D","8-9D","large",3322.32,"Li600"
"51",12,13,"LCOR-088","LC-102 8-9D","8-9D","large",3566.16,"Li600"
"52",6,48,"LCOR-412","LC-102 8-9D","8-9D","small",2895.6,"Li600"
"53",9,23,"LCOR-291","LC-102 8-9D","8-9D","large",3200.4,"Li600"
"54",2,21,"LCOR-098","LC-102 8-9D","8-9D","large",2956.56,"Li600"
"55",6,10,"LCOR-292","LC-102 8-9D","8-9D","large",3566.16,"Li600"
"56",2,26,"LCOR-293","LC-102 8-9D","8-9D","large",3870.96,"Li600"
"57",6,24,"LCOR-503","CT717 3","CT3","large",2987.04,"Li600"
"58",13,21,"LCOR-495","CT717 3","CT3","large",3992.88,"Li600"
"59",14,4,"LCOR-201","CT717 3","CT3","large",3749.04,"Li600"
"60",15,21,"LCOR-204","CT717 3","CT3","large",3413.76,"Li600"
"61",6,22,"LCOR-340","CT717 3","CT3","large",2529.84,"Li600"
"62",7,14,"LCOR-347","CT717 3","CT3","large",3566.16,"Li600"
"63",5,50,"LCOR-208","CT717 3","CT3","small",2621.28,"Li600"
"64",10,28,"LCOR-337","CT717 3","CT3","large",3413.76,"Li600"
