row,column,ID,event_short,SM-N,SM-S,SM-Av,SPAD,SPAD 2,SPAD Av,mPA,comments,,,,,,
11,4,LCOR-268,5C,0.143,0.128,0.1355,30.9,29.6,30.25,1.65,,,,,,,
2,5,LCOR-344,CT3,0.162,0.155,0.1585,31.5,30.6,31.05,1.27,,,,,,,
10,5,LCOR-092,8-9D,0.123,0.133,0.128,27.1,26.5,26.8,1.34,,,,,,,
12,5,LCOR-563,5C,0.112,0.101,0.1065,30.6,30.7,30.65,1.1,,,,,,,
5,6,LCOR-062,2H,0.123,0.133,0.128,28.2,27.1,27.65,,,,,,,,
7,6,LCOR-003,4A,0.161,0.124,0.1425,22.5,24.3,23.4,,,,,,,,
10,6,LCOR-251,5A,0.129,0.121,0.125,31.3,31.2,31.25,1.6,,,,,,,
3,9,LCOR-001,4A,0.111,0.098,0.1045,35.9,34,34.95,,,,,,,,
8,9,LCOR-163,5A,0.131,0.101,0.116,37.2,34.9,36.05,,,,,,,,
13,9,LCOR-504,CT3,0.155,0.154,0.1545,23.8,24.7,24.25,,,,,,,,
2,11,LCOR-164,5A,0.17,0.166,0.168,34.5,36,35.25,,,,,,,,
13,11,LCOR-289,8-9D,0.132,0.001,0.0665,30.4,33,31.7,,,,,,,,
14,11,LCOR-040,5C,0.2,0.189,0.1945,73.2,40,56.6,,,,,,,,
5,12,LCOR-277,5C,0.193,0.165,0.179,38.3,55.6,46.95,,,,,,,,
7,12,LCOR-111,16-20,0.137,0.136,0.1365,30.5,32.8,31.65,,,,,,,,
9,12,LCOR-588,5A,0.127,0.129,0.128,29.8,37.7,33.75,0.99,,,,,,,
11,12,LCOR-035,5C,0.193,0.148,0.1705,33.4,34.4,33.9,,,,,,,,
13,12,LCOR-218,2H,0.161,0.141,0.151,33.1,30.7,31.9,0.91,,,,,,,
2,13,LCOR-066,2H,0.179,0.182,0.1805,41.2,30.7,35.95,,,,,,,,
7,13,LCOR-338,CT3,0.183,0.177,0.18,36.9,38.1,37.5,,,,,,,,
10,13,LCOR-077,13-15E,0.198,0.188,0.193,36.8,64.5,50.65,,,,,,,,
3,14,LCOR-604,13-15E,0.154,0.142,0.148,32.6,32.1,32.35,,,,,,,,
15,16,LCOR-614,13-15E,0.153,0.14,0.1465,33,26,29.5,1.13,,,,,,,
5,17,LCOR-079,13-15E,0.132,0.155,0.1435,32.7,34.4,33.55,,,,,,,,
13,17,LCOR-502,CT3,0.233,0.199,0.216,61.9,62.2,62.05,,,,,,,,
2,18,LCOR-058,2H,0.167,0.166,0.1665,31.5,31.2,31.35,,,,,,,,
7,19,LCOR-585,5A,0.179,0.177,0.178,34.8,35,34.9,1.35,,,,,,,
7,20,LCOR-059,2H,0.173,0.162,0.1675,37.3,36.8,37.05,,,,,,,,
12,20,LCOR-230,4A,0.193,0.184,0.1885,42.5,43.3,42.9,,,,,,,,
13,20,LCOR-534,4A,0.125,0.144,0.1345,32.2,0.8,16.5,,,,,,,,
15,20,LCOR-493,CT3,0.177,0.155,0.166,34.1,42.1,38.1,1.29,,,,,,,
9,21,LCOR-584,5A,0.181,0.162,0.1715,34.2,40,37.1,,,,,,,,
2,22,LCOR-616,13-15E,0.163,0.159,0.161,36.8,38.5,37.65,1.26,,,,,,,
13,22,LCOR-514,16-20,0.149,0.136,0.1425,31.7,34,32.85,,,,,,,,
14,23,LCOR-290,8-9D,0.128,0.11,0.119,23.1,0,11.55,,,,,,,,
14,24,LCOR-309,16-20,0.146,0.141,0.1435,34.1,33.7,33.9,1.49,,,,,,,
8,26,LCOR-300,13-15E,0.163,0.177,0.17,34.7,35.2,34.95,1.1,,,,,,,
15,26,LCOR-508,16-20,0.153,0.142,0.1475,28.9,31.2,30.05,,,,,,,,
7,27,LCOR-197,CT3,0.182,0.157,0.1695,33.4,33.4,33.4,,,,,,,,
10,27,LCOR-322,16-20,0.163,0.144,0.1535,33.4,33.2,33.3,,,,,,,,
1,28,LCOR-537,4A,0.139,0.121,0.13,26.5,27,26.75,,,,,,,,
3,28,LCOR-086,8-9D,0.169,0.142,0.1555,32,32.6,32.3,,,,,,,,
4,30,LCOR-093,8-9D,0.189,0.171,0.18,42.6,37.1,39.85,,,,,,,,
13,45,LCOR-461,2H,0.18,0.163,0.1715,37.1,39,38.05,,,,,,,,
4,47,LCOR-232,4A,0.167,0.166,0.1665,34.2,31,32.6,,,,,,,,
7,48,LCOR-509,16-20,0.168,0.17,0.169,32.5,30.7,31.6,,,,,,,,
15,51,LCOR-413,8-9D,0.187,0.186,0.1865,39.5,39.2,39.35,,,,,,,,
6,53,LCOR-566,5C,0.161,0.121,0.141,30.6,33,31.8,,,,,,,,
